                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250402"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      462                  1.0000000000000001E-005                 -4.9999999999999991E+000                  9.5503219341434040E-004                  3.0278523921930333E+001                 -1.1022276394711151E+001                  6.4286460567501865E-004                  6.6378209720610137E-001                  9.6821691242624034E-008                  9.9753612538530800E-001                  9.2716542081034470E-001                  6.6378209720610137E-001                  9.6821691242624034E-008                  9.9753612538530800E-001                  9.2716542081034470E-001                 -2.2981391296701513E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981391296701513E+001                 -2.2981391296701513E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2457792708793645E+000                 -2.5971020097281792E+000                 -2.6745638575832148E-001                  1.9529984103894360E+000                  0.0000000000000000E+000                  1.1833556718962768E+001                 -6.0764090530594972E-001                  4.5849198286274282E+000                  1.5052548724900796E+000                  8.5500478890566545E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600789E-001                  3.4468833607861561E-003                  9.3805276451495410E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  6.7807285732418153E-004                  2.5783125086738202E-004                                        0                                        9 
                                       5                                      462                  7.4416000000000014E-005                 -4.6832750158095005E+000                  9.5503219341495232E-004                  3.0278523921930610E+001                 -1.1022276394711151E+001                  6.5161033181611273E-004                  6.7313396355393906E-001                  9.6821691548596673E-008                  9.9764019632628953E-001                  9.2716542080863196E-001                  6.7313396355393906E-001                  9.6821691548596673E-008                  9.9764019632628953E-001                  9.2716542080863196E-001                 -2.2981335513293555E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981335513293555E+001                 -2.2981335513293555E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2448014392874409E+000                 -2.6013896631994644E+000                 -2.6764454931011611E-001                  1.9533747374933037E+000                  0.0000000000000000E+000                  1.1833688851038721E+001                 -6.0732772820344916E-001                  4.5847633765705220E+000                  1.5053785414146748E+000                  8.5500478890566545E-001                  1.2841549575157447E+000                  7.0999999999999996E-001                  2.6997126656600789E-001                  3.4468833607861553E-003                  9.3805276451495445E-003                  3.4468833607861527E-003                  9.3805276451495428E-003                  6.7807285732461608E-004                  2.5783125086754731E-004                                        0                                        6 
                                      10                                      462                  1.5364410880000000E-004                 -4.6675800272829822E+000                  9.5503219341570508E-004                  3.0278523921930951E+001                 -1.1022276394711151E+001                  6.5161033181611804E-004                  6.7313396355340982E-001                  9.6821692449810480E-008                  9.9764019632603451E-001                  9.2447119148304202E-001                  6.7313396355340982E-001                  9.6821692449810480E-008                  9.9764019632603451E-001                  9.2447119148304202E-001                 -2.2981258907076452E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981258907076452E+001                 -2.2981258907076452E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2437228529191593E+000                 -2.6061187834121631E+000                 -2.6785193667990259E-001                  1.9537895122332190E+000                  0.0000000000000000E+000                  1.1833865522353854E+001                 -6.0708294031665100E-001                  4.5846973363106276E+000                  1.5053622802575062E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.0999999999999996E-001                  2.6997126656600789E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861496E-003                  9.3805276451495410E-003                  6.7807285732515070E-004                  2.5783125086775043E-004                                        1                                        6 
                                      15                                      463                  3.1888091479244797E-004                 -4.5727037927088396E+000                  9.5503219341727479E-004                  3.0278523921931665E+001                 -1.1022276394711151E+001                  6.6017179120238842E-004                  6.8229148326878730E-001                  9.6821688397006935E-008                  9.9764019632549628E-001                  9.2168791702811481E-001                  6.8229148326878730E-001                  9.6821688397006935E-008                  9.9764019632549628E-001                  9.2168791702811481E-001                 -2.2981080434237395E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981080434237395E+001                 -2.2981080434237395E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2424264112648831E+000                 -2.6118634311551454E+000                 -2.6813137724284131E-001                  1.9543483933598100E+000                  0.0000000000000000E+000                  1.1834282383971757E+001                 -6.0653859470539928E-001                  4.5845687662553534E+000                  1.5052891826119945E+000                  8.5500478890566545E-001                  1.2841549575157447E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861553E-003                  9.3805276451495445E-003                  3.4468833607861470E-003                  9.3805276451495445E-003                  6.7807285732626450E-004                  2.5783125086817414E-004                                        2                                        6 
                                      20                                      463                  5.1793107407967351E-004                 -4.2559788085183401E+000                  9.5503219341916575E-004                  3.0278523921932525E+001                 -1.1022276394711151E+001                  6.6855041818664500E-004                  6.9125606000659578E-001                  9.6821688199842493E-008                  9.9773998355082283E-001                  9.1881324405753395E-001                  6.9125606000659578E-001                  9.6821688199842493E-008                  9.9773998355082283E-001                  9.1881324405753395E-001                 -2.2980855834721556E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2980855834721556E+001                 -2.2980855834721556E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2414742818891571E+000                 -2.6161392778380845E+000                 -2.6836504183285897E-001                  1.9548157225407052E+000                  0.0000000000000000E+000                  1.1834790637560264E+001                 -6.0582285921937062E-001                  4.5843688986952209E+000                  1.5052541849118986E+000                  8.5500478890566545E-001                  1.2841549575157449E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861466E-003                  9.3805276451495445E-003                  6.7807285732760750E-004                  2.5783125086868480E-004                                        2                                        4 
                                      25                                      464                  1.0132315664372622E-003                 -3.8600725782802163E+000                  9.5503219342387108E-004                  3.0278523921934664E+001                 -1.1022276394711151E+001                  6.7674774029306199E-004                  7.0002919565449317E-001                  9.6821690198543072E-008                  9.9783565763163906E-001                  9.1278015342093621E-001                  7.0002919565449317E-001                  9.6821690198543072E-008                  9.9783565763163906E-001                  9.1278015342093621E-001                 -2.2980364215141723E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2980364215141723E+001                 -2.2980364215141723E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2398958135228972E+000                 -2.6232877466297375E+000                 -2.6878233949616576E-001                  1.9556503178694586E+000                  0.0000000000000000E+000                  1.1835809227774229E+001                 -6.0442416248849340E-001                  4.5839969646973096E+000                  1.5051463553169602E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495410E-003                  6.7807285733094793E-004                  2.5783125086995483E-004                                        2                                        6 
                                      30                                      463                  2.2456976875804974E-003                 -3.4641663480420921E+000                  9.5503219343557948E-004                  3.0278523921939989E+001                 -1.1022276394711151E+001                  6.9260503126055632E-004                  7.1700763680808721E-001                  9.6821690048085934E-008                  9.9927694391480160E-001                  9.0635257702450045E-001                  7.1700763680808721E-001                  9.6821690048085934E-008                  9.9927694391480160E-001                  9.0635257702450045E-001                 -2.2979658893574179E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2979658893574179E+001                 -2.2979658893574179E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2374815549650249E+000                 -2.6342126884329553E+000                 -2.6941629328203048E-001                  1.9569182254465123E+000                  0.0000000000000000E+000                  1.1837125627606481E+001                 -6.0280011144060541E-001                  4.5836664058743484E+000                  1.5048156476475101E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861414E-003                  9.3805276451495410E-003                  6.7807285733926083E-004                  2.5783125087311610E-004                                        2                                        6 
                                      35                                      463                  5.3124677861436306E-003                 -3.0682601178039683E+000                  9.5503219346471362E-004                  3.0278523921953237E+001                 -1.1022276394711151E+001                  7.6163911664478751E-004                  7.9104172752239277E-001                  9.6821688158722511E-008                  9.9933844223865731E-001                  8.9951081679736844E-001                  7.9104172752239277E-001                  9.6821688158722511E-008                  9.9933844223865731E-001                  8.9951081679736844E-001                 -2.2979110226629547E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2979110226629547E+001                 -2.2979110226629547E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2337678589687764E+000                 -2.6509024256351585E+000                 -2.7033376989063496E-001                  1.9587531786769699E+000                  0.0000000000000000E+000                  1.1838124798898354E+001                 -6.0165455494354680E-001                  4.5834866378533476E+000                  1.5044742243563127E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861397E-003                  9.3805276451495445E-003                  6.7807285735994665E-004                  2.5783125088098133E-004                                        2                                        9 
                                      40                                      462                  1.2943573157800243E-002                 -2.6723538875658441E+000                  9.5503219353720902E-004                  3.0278523921986206E+001                 -1.1022276394711151E+001                  8.2858305443158546E-004                  8.6305355870716038E-001                  9.6821689163736712E-008                  9.9970491628399016E-001                  8.9223485165407268E-001                  8.6305355870716038E-001                  9.6821689163736712E-008                  9.9970491628399016E-001                  8.9223485165407268E-001                 -2.2978850130846965E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2978850130846965E+001                 -2.2978850130846965E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2274077016548279E+000                 -2.6795477109400356E+000                 -2.7193609791517587E-001                  1.9619578347590185E+000                  0.0000000000000000E+000                  1.1838630240799969E+001                 -6.0107401289849660E-001                  4.5833945770299245E+000                  1.5043026459505562E+000                  8.5500478890566545E-001                  1.2841549575157447E+000                  7.0999999999999996E-001                  2.6997126656600789E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861366E-003                  9.3805276451495428E-003                  6.7807285741141882E-004                  2.5783125090055313E-004                                        2                                        6 
